_id,id,air_quality_benfits_total_lbs,neighborhood
548,1446321927,2.860637683,Homewood South
549,1817314022,0.503186492,Homewood South
550,1139786184,0.832612527,Greenfield
551,1355315391,1.789915795,Greenfield
552,1274706573,1.789915795,Greenfield
553,1920403061,2.213377117,Greenfield
554,733774467,0.123548697,Homewood South
555,1085561547,0.171031399,Homewood South
556,1002142374,0.128283709,East Hills
557,1950270398,3.652668751,East Hills
558,1927582386,0.476869,South Side Flats
559,1771603648,0.009838326,Central Northside
560,438814752,2.301956243,East Hills
561,1963146992,0.048936822,Homewood South
562,1567897990,1.638974136,Homewood South
563,698092644,1.172408871,Homewood South
564,1723611654,1.24509304,Homewood South
565,518339932,0.235691114,Homewood South
566,296101471,2.370444044,Homewood South
567,935496536,2.370444044,Homewood South
568,1444988547,2.213377117,Homewood South
569,128758098,0.174964039,Homewood South
570,773456928,0.013022995,Central Northside
571,1213118502,0.33915266,Greenfield
572,1928346213,0.061782685,Greenfield
573,872903235,1.85889022,Greenfield
574,2090899843,1.195617267,Homewood South
575,1676051430,2.370444044,Homewood South
576,1536222264,1.428806153,Greenfield
577,517328581,1.750170719,Greenfield
578,1252365790,1.750170719,Greenfield
579,1336382548,0.785006173,Greenfield
580,1293900753,0.993872821,Greenfield
581,1546910767,0.123548697,Central Northside
582,1832307468,1.673810145,Greenfield
583,1271354817,1.181579324,Greenfield
584,301338532,1.983526821,Greenfield
585,2009502382,0.130364996,Greenfield
586,1974043544,0.076863476,Greenfield
587,1171297449,0.107308212,Greenfield
588,218401937,2.258578611,Greenfield
589,980387055,0.207721333,Greenfield
590,107935835,4.524266851,Greenfield
591,80880634,1.382427748,Greenfield
592,520624253,0.503116025,Central Northside
593,1101837961,1.252401377,Greenfield
594,502979506,1.750170719,Greenfield
595,289535344,0.889873934,Greenfield
596,217811893,0.766035428,Greenfield
597,740904825,0.64367658,Hazelwood
598,1602313489,0.920555149,Greenfield
599,1598936943,0.019431887,Hazelwood
